Fecha,R0,Alpha,Beta,Gamma,S,E,I,R,Ia,Confirmados
2020-02-29,12.613566690627097,0.333333333,0.9006086617107748,0.0714,44000000.0,1.0,0.0,0.0,0.0,0
2020-03-01,12.613566690627097,0.333333333,0.9006086617107748,0.0714,44000000.0,0.666666667,0.333333333,0.0,0.333333333,0
2020-03-02,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999999.699797116,0.7446473295513466,0.5317555551349111,0.0237999999762,0.5555555551111111,0
2020-03-03,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999999.220893465,0.975335206103006,0.7420039847671782,0.06176734661283266,0.8037713313800109,1
2020-03-04,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999998.55263826,1.318478674558307,1.0141366352973586,0.11474643112520919,1.1288830664225677,1
2020-03-05,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999997.63929805,1.7923259979523336,1.38122017061707,0.1871557868854406,1.5683759575025105,1
2020-03-06,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999996.39535925,2.438822804279612,1.8800430491550137,0.2857749070674994,2.1658179562225133,3
2020-03-07,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999994.70217628,3.319064841447042,2.5587489093922753,0.42000998077716745,2.9787588901694426,9
2020-03-08,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999992.397745006,4.517141170338202,3.4824091833043256,0.602704652907776,4.085113836212102,12
2020-03-09,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999989.26145742,6.1477150313189135,4.73947888955675,0.8513486685957048,5.590827558152455,17
2020-03-10,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999984.99304222,8.366891887162193,6.450318438566131,1.1897474613100567,7.640065899876188,19
2020-03-11,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999979.183830574,11.387139575429707,8.778729661650944,1.6503001978236784,10.429029859474623,21
2020-03-12,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999971.277632475,15.49762448556077,11.947641551823255,2.2771014956655558,14.224743047488811,31
2020-03-13,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999960.51748648,21.091895652148253,16.260454768377457,3.130163102465736,19.390617870843194,34
2020-03-14,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999945.87318653,28.70556372919831,22.13009017493409,4.291159572927887,26.421249747861978,45
2020-03-15,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999925.9426476,39.067581423723375,30.11852296994138,5.871248011418181,35.98977098135956,56
2020-03-16,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999898.81766712,53.17003477327168,40.990587558106164,8.021710551471996,49.01229810957816,65
2020-03-17,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999861.90123004,72.36312694811592,55.78720451315794,10.948438503120776,66.73564301627871,78
2020-03-18,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999811.658866644,98.48444804958444,75.92504040283606,14.931644905360255,90.85668530819632,97
2020-03-19,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999743.28025881,134.03490656280746,103.3321418351069,20.35269279012275,123.68483462522964,128
2020-03-20,12.613566690627097,0.333333333,0.9006086617107748,0.0714,43999650.21869844,182.4181647903691,140.63252905100444,27.730607717149383,168.36313676815382,158
2020-03-21,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999523.5643093,248.266499064048,191.3974213460797,37.7717702913911,229.16919163747082,225
2020-03-22,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999489.83588328,199.23942547323028,260.48714506723013,51.43754617550119,311.92469124273134,265
2020-03-23,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999443.932418056,178.729748943665,308.30150466742685,70.03632833330143,378.33783300072827,301
2020-03-24,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999389.60311119,173.48247288469582,345.86536015581765,92.04905576655571,437.91441592237334,385
2020-03-25,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999328.65433359,176.60375958193157,378.9980643444301,116.7438424816811,495.7419068261112,502
2020-03-26,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999261.86696187,184.52321150581025,410.8055223520137,143.80430427587342,554.6098266278872,589
2020-03-27,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999189.47454882,195.40788745089407,442.9817451631756,173.1358185718072,616.1175637349828,690
2020-03-28,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999111.41213024,208.334343612559,476.4888109770203,204.76471517645794,681.2535261534782,745
2020-03-29,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43999027.44520755,222.85648516215065,511.9122910080026,238.78601628021718,750.6983072882198,820
2020-03-30,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998937.23609681,238.78010092670007,549.647248409796,275.33655385818855,824.9838022679846,966
2020-03-31,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998840.377500795,256.0453300426627,589.9958017693099,314.581367394648,904.5771691639579,1054
2020-04-01,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998736.40888856,274.66549901438066,633.218544785187,356.70706764097673,989.9256124261638,1133
2020-04-02,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998624.823813826,294.6954075062321,679.5619069340963,401.9188717386391,1081.4807786727354,1265
2020-04-03,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998505.07241202,316.21500690334943,729.2729891828474,450.43959189373356,1179.712581076581,1353
2020-04-04,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998376.561283186,339.32113354050637,782.6078999509036,502.5096833213889,1285.1175832722924,1451
2020-04-05,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998238.65190603,364.12346629627905,839.8367402948043,558.3878873778834,1398.2246276726878,1554
2020-04-06,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43998090.658173755,390.7427099274054,901.2468856818072,618.3522306349324,1519.5991163167396,1628
2020-04-07,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43997931.84335181,419.3099620220608,967.1454278896804,682.7012582726135,1649.8466861622937,1715
2020-04-08,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43997761.41660564,449.9667209921312,1037.8612315392743,751.7554418239366,1789.6166733632108,1795
2020-04-09,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43997578.52916631,482.86525347185,1113.7468464547583,825.8587337558408,1939.605580210599,1894
2020-04-10,2.4681073342044195,0.333333333,0.17622286366219556,0.0714,43997382.27015959,518.1691758642978,1195.18040594755,905.3802585927106,2100.5606645402604,1975
2020-04-11,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43997171.66210089,556.0541761144952,1282.5675834116046,990.7161395773657,2273.28372298897,2142
2020-04-12,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43997090.21628559,452.1485995642854,1376.3436498088297,1082.2914650329542,2458.635114841784,2208
2020-04-13,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43997002.81585545,388.83282999393305,1428.7889129165246,1180.5624016293045,2609.351314545829,2277
2020-04-14,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996912.08536252,349.95237972542634,1456.384327735985,1282.5779300115444,2738.9622577475293,2443
2020-04-15,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996819.60278689,325.7841622285839,1469.0492798607936,1386.5637710118938,2855.6130508726874,2571
2020-04-16,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996726.316215254,310.47601322854064,1472.7538819129995,1491.4538895939545,2964.207771506954,2669
2020-04-17,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996632.794627324,300.5055968531229,1471.0912590504329,1596.6085167625426,3067.6997758129755,2758
2020-04-18,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996539.37883762,293.75285437220623,1466.2238753384377,1701.6444326587437,3167.8683079971815,2839
2020-04-19,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996446.27234371,288.94173025999,1459.4531086654242,1806.3328173579082,3265.7859260233326,2941
2020-04-20,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996353.59600564,285.30415834115286,1451.5620666970624,1910.5377693166195,3362.099836013682,3031
2020-04-21,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996261.42095628,282.37782168417345,1443.0219211535084,2014.1793008787897,3457.201222032298,3144
2020-04-22,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996169.78840928,279.88442821730837,1434.1160964504131,2117.2110660491503,3551.327162499563,3288
2020-04-23,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43996078.72158102,277.65644716503914,1425.0150164763281,2219.6069553357097,3644.621971812038,3435
2020-04-24,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43995988.232866116,275.5930131064731,1415.8210932623792,2321.3530275121198,3737.174120774499,3607
2020-04-25,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43995898.32815615,273.6333854620895,1406.5958048137388,2422.4426535710536,3829.0384583847926,3780
2020-04-26,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43995809.00943896,271.74097425673096,1397.3759927461897,2522.8735940347547,3920.2495867809444,3892
2020-04-27,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43995720.27636303,269.8937255235376,1388.183671525775,2622.6462399168327,4010.8299114426077,4003
2020-04-28,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43995632.12717901,268.07833445579706,1379.0319324633826,2721.7625540637728,4100.794486527156,4127
2020-04-29,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43995544.55930633,266.2867624085352,1369.9284972147368,2820.2254340416584,4190.1539312563955,4285
2020-04-30,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43995457.56967415,264.5141405443708,1360.8778565610207,2918.038328742791,4278.916185303811,4427
2020-05-01,0.8894319851974781,0.333333333,0.06350544374309994,0.0714,43995371.15492652,262.75750807489516,1351.8825576958493,3015.2050077012477,4367.087565397097,4531
2020-05-02,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43995285.311545834,261.01505282975484,1342.9439790137449,3111.7294223207314,4454.673401334476,4679
2020-05-03,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43995065.98906216,393.3325189793014,1334.0627964350767,3207.6156224223128,4541.678418857389,4782
2020-05-04,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43994848.11743703,480.09330458551284,1369.9215522982686,3302.867706087777,4672.789258386046,4886
2020-05-05,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43994624.390228555,543.7894116904324,1432.1402548326453,3400.6801049218734,4832.820359754519,5020
2020-05-06,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43994390.50269297,596.4138102321483,1511.1485776864754,3502.9349191169244,5014.0834968034,5208
2020-05-07,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43994143.71306514,644.3988348483223,1602.0571724515726,3610.830927563739,5212.8881000153115,5371
2020-05-08,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43993882.07809919,691.2341893980285,1702.4699017398382,3725.217809676781,5427.687711416619,5611
2020-05-09,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43993604.04589934,738.8549930130977,1811.3249469912118,3846.7741606610057,5658.099107652218,5776
2020-05-10,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43993308.238013685,788.377881241323,1928.281343200787,3976.102761876178,5904.384105076965,6034
2020-05-11,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43992993.331715554,840.4915525562485,2053.3946821138993,4113.782049780714,6167.176731894613,6278
2020-05-12,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43992657.9952474,895.6641701387009,2186.946152382886,4260.3944300836465,6447.340582466532,6563
2020-05-13,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43992300.85098541,954.2537090489047,2329.35292018376,4416.542385363785,6745.895305547545,6878
2020-05-14,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43991920.45324093,1016.5668841624934,2481.121691047523,4582.858183864905,7063.979874912428,7133
2020-05-15,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43991515.27364687,1082.8908505119684,2642.825230022039,4760.010272605698,7402.835502627737,7478
2020-05-16,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43991083.69037979,1153.510501113181,2815.0911250748245,4948.707994029272,7763.7991191040965,7805
2020-05-17,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43990623.97921852,1228.71816240055,2998.5971187310392,5149.705500359615,8148.302619090655,8068
2020-05-18,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43990134.305366665,1308.8192938678926,3194.070004844254,5363.805334637012,8557.875339481267,8371
2020-05-19,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43989612.715457164,1394.1361058466625,3402.2865040180654,5591.861932982892,8994.148437000957,8809
2020-05-20,2.2875522295506103,0.333333333,0.16333122918991358,0.0714,43989057.12941594,1485.0101122577369,3624.0752824486844,5834.785189369782,9458.860471818465,9283
2020-05-21,,,,,43988465.33199815,1581.8041597930828,3860.319677539424,6093.544164536617,9953.863842076042,9931
